project_id,option_id,total_pv_kwp,total_inverter_kw,total_battery_kwh
1acae1fd1867a410,587ec5860889e9d1,0.0,0.0,7.0
1ba3dccd3a75be40,249f218342bd753d,0.0,0.0,7.0
1bf16187b3de122b,1b989a91839bdcbc,0.0,12.0,15.0
1bfb3c65063795d9,c21f4ccf45d650e2,0.0,0.0,5.0
1c0b0c18461a383e,cc8a6645d242fa75,0.0,0.0,10.0
1c26f9a1a59d1fcd,57cdb7d9c2d18aa0,0.0,0.0,5.0
1c8389790bdcc142,5e92387d5563b712,0.0,0.0,5.0
1ca5df77451f7cd3,4a20b71889051b02,0.0,0.0,5.0
1d698e43fdaca28c,e3c70d6047318678,0.0,0.0,21.0
1db796bf6d90afcd,5fc48c75892e0cf0,0.0,0.0,10.0
1dc49b0f3ea74574,030c9714b2681251,0.0,0.0,15.0
1de42bd95ebf17a4,5461286241b3ef9d,0.0,0.0,16.98
1ee69e93d966e330,f7b3121dab54906d,0.0,0.0,5.0
1f65293d29df4b01,604cc62ffdb801aa,0.0,0.0,10.0
1f97cf07d9c6d492,413102400278e0b7,0.0,0.0,7.0
1f9b73f7e80f8834,7404e67a3a6b283e,0.0,0.0,7.0
1fa1951f2dfe77ab,62998085104dd16e,0.0,0.0,7.0
1fa27c95924ab685,71ba4bff0db805ec,0.0,0.0,5.0
20040a9fc25056a9,1b2116859c7875c5,0.0,0.0,10.0
223637897fb4f1b4,821ff63d940bd25b,0.0,0.0,5.0
2244bac1f3937efd,da81b915d3b62e69,0.0,0.0,5.0
2246e46ef9678eca,bd39ae1de646bc94,0.0,0.0,10.0
226271bff3efb8cb,73fe87c8fff1b699,0.0,0.0,10.0
22eb53403fe3814a,f15172127f76603d,0.0,0.0,7.0
2322e97b9ce58afc,bc6fce92129502d5,0.0,0.0,7.0
233f512f6b27d753,828b8bb064ccca32,0.0,0.0,5.0
235896a9ddffe2fb,dcad532b99225347,0.0,0.0,10.0
23e82da6ef895c04,5824672721bb1304,0.0,0.0,5.0
24c384e5dda7bad6,32417fbb8149e25b,0.0,0.0,7.0
